career,category,description,skills,interests,work_style,roadmap,career_text,match_text
Graphic Designer,Design,"Creates visual communication such as branding, posters, social graphics, layouts, and marketing materials using typography, color, imagery, and composition.",Adobe tools or alternatives; typography; color theory; layout; branding; illustration basics,art; visual communication; branding; creativity; images; typography,visual and creative; project-based; frequent revisions based on client or team feedback,Design principles → typography/color → Photoshop/Illustrator or alternatives → branding → portfolio projects,"Career: Graphic Designer. Description: Creates visual communication such as branding, posters, social graphics, layouts, and marketing materials using typography, color, imagery, and composition.. Skills: Adobe tools or alternatives; typography; color theory; layout; branding; illustration basics. Interests: art; visual communication; branding; creativity; images; typography. Work style: visual and creative; project-based; frequent revisions based on client or team feedback.","A student who may enjoy a career as Graphic Designer may be interested in art; visual communication; branding; creativity; images; typography. They may enjoy using skills such as Adobe tools or alternatives; typography; color theory; layout; branding; illustration basics. The work may suit someone who prefers visual and creative; project-based; frequent revisions based on client or team feedback. The career involves Creates visual communication such as branding, posters, social graphics, layouts, and marketing materials using typography, color, imagery, and composition.."
Product Designer,Design,"Designs complete digital product experiences by combining user research, interaction design, interface design, prototyping, and product thinking.",Figma; UX research; UI design; prototyping; design systems; product thinking,digital products; users; design systems; creativity; problem solving,"highly collaborative and iterative; balances user needs, product goals, and technical constraints",UX fundamentals → Figma → research → interaction/UI design → design systems → product case-study portfolio,"Career: Product Designer. Description: Designs complete digital product experiences by combining user research, interaction design, interface design, prototyping, and product thinking.. Skills: Figma; UX research; UI design; prototyping; design systems; product thinking. Interests: digital products; users; design systems; creativity; problem solving. Work style: highly collaborative and iterative; balances user needs, product goals, and technical constraints.","A student who may enjoy a career as Product Designer may be interested in digital products; users; design systems; creativity; problem solving. They may enjoy using skills such as Figma; UX research; UI design; prototyping; design systems; product thinking. The work may suit someone who prefers highly collaborative and iterative; balances user needs, product goals, and technical constraints. The career involves Designs complete digital product experiences by combining user research, interaction design, interface design, prototyping, and product thinking.."
Architect,Design,"Plans and designs buildings and spaces by combining creativity, technical drawing, safety requirements, materials, and the needs of people who will use the space.",architectural drawing; CAD; 3D modeling; design; building knowledge; presentation; mathematics,buildings; spaces; drawing; creativity; engineering; human environments,"creative and technical; project-based; client collaboration; significant drawing, revision, and documentation",Design/drawing fundamentals → CAD → 3D modeling → building systems → codes basics → architectural portfolio,"Career: Architect. Description: Plans and designs buildings and spaces by combining creativity, technical drawing, safety requirements, materials, and the needs of people who will use the space.. Skills: architectural drawing; CAD; 3D modeling; design; building knowledge; presentation; mathematics. Interests: buildings; spaces; drawing; creativity; engineering; human environments. Work style: creative and technical; project-based; client collaboration; significant drawing, revision, and documentation.","A student who may enjoy a career as Architect may be interested in buildings; spaces; drawing; creativity; engineering; human environments. They may enjoy using skills such as architectural drawing; CAD; 3D modeling; design; building knowledge; presentation; mathematics. The work may suit someone who prefers creative and technical; project-based; client collaboration; significant drawing, revision, and documentation. The career involves Plans and designs buildings and spaces by combining creativity, technical drawing, safety requirements, materials, and the needs of people who will use the space.."
Digital Marketer,Marketing,"Plans and runs online marketing campaigns across websites, search, email, advertising, and social platforms to attract audiences and achieve business goals.",digital marketing; analytics; content; advertising; SEO basics; campaign planning; communication,brands; online audiences; creativity; business growth; campaigns; analytics,fast-moving and campaign-based; combines creative ideas with performance data,Marketing fundamentals → content → social media → SEO → paid ads → analytics → campaign portfolio,"Career: Digital Marketer. Description: Plans and runs online marketing campaigns across websites, search, email, advertising, and social platforms to attract audiences and achieve business goals.. Skills: digital marketing; analytics; content; advertising; SEO basics; campaign planning; communication. Interests: brands; online audiences; creativity; business growth; campaigns; analytics. Work style: fast-moving and campaign-based; combines creative ideas with performance data.","A student who may enjoy a career as Digital Marketer may be interested in brands; online audiences; creativity; business growth; campaigns; analytics. They may enjoy using skills such as digital marketing; analytics; content; advertising; SEO basics; campaign planning; communication. The work may suit someone who prefers fast-moving and campaign-based; combines creative ideas with performance data. The career involves Plans and runs online marketing campaigns across websites, search, email, advertising, and social platforms to attract audiences and achieve business goals.."
SEO Specialist,Marketing,"Improves websites so they can appear more effectively in search engines by researching keywords, optimizing content, checking technical issues, and measuring search performance.",keyword research; SEO; content optimization; Google Analytics; Search Console; technical SEO basics,search engines; websites; data; content; online visibility; research,research and analysis focused; mixes technical website checks with content improvement,SEO fundamentals → keyword research → on-page SEO → Search Console → technical SEO basics → SEO audit projects,"Career: SEO Specialist. Description: Improves websites so they can appear more effectively in search engines by researching keywords, optimizing content, checking technical issues, and measuring search performance.. Skills: keyword research; SEO; content optimization; Google Analytics; Search Console; technical SEO basics. Interests: search engines; websites; data; content; online visibility; research. Work style: research and analysis focused; mixes technical website checks with content improvement.","A student who may enjoy a career as SEO Specialist may be interested in search engines; websites; data; content; online visibility; research. They may enjoy using skills such as keyword research; SEO; content optimization; Google Analytics; Search Console; technical SEO basics. The work may suit someone who prefers research and analysis focused; mixes technical website checks with content improvement. The career involves Improves websites so they can appear more effectively in search engines by researching keywords, optimizing content, checking technical issues, and measuring search performance.."
Content Strategist,Marketing,"Plans what content an organization should create, for whom, on which channels, and for what purpose so communication supports audience and business needs.",content planning; audience research; writing; SEO basics; analytics; editorial planning,writing; audiences; communication; planning; brands; storytelling,planning and communication focused; combines creative thinking with research and performance review,Writing fundamentals → audience research → content planning → SEO basics → analytics → build content strategy samples,"Career: Content Strategist. Description: Plans what content an organization should create, for whom, on which channels, and for what purpose so communication supports audience and business needs.. Skills: content planning; audience research; writing; SEO basics; analytics; editorial planning. Interests: writing; audiences; communication; planning; brands; storytelling. Work style: planning and communication focused; combines creative thinking with research and performance review.","A student who may enjoy a career as Content Strategist may be interested in writing; audiences; communication; planning; brands; storytelling. They may enjoy using skills such as content planning; audience research; writing; SEO basics; analytics; editorial planning. The work may suit someone who prefers planning and communication focused; combines creative thinking with research and performance review. The career involves Plans what content an organization should create, for whom, on which channels, and for what purpose so communication supports audience and business needs.."
Social Media Manager,Marketing,"Plans, publishes, and evaluates content on social platforms while managing online communities and helping brands communicate with their audiences.",social media platforms; content planning; copywriting; basic design; analytics; community management,social media; trends; brands; communication; content; online communities,fast-paced and audience-facing; creative; responds to trends and monitors engagement regularly,Platform fundamentals → content planning → Canva/design basics → copywriting → analytics → manage sample social campaigns,"Career: Social Media Manager. Description: Plans, publishes, and evaluates content on social platforms while managing online communities and helping brands communicate with their audiences.. Skills: social media platforms; content planning; copywriting; basic design; analytics; community management. Interests: social media; trends; brands; communication; content; online communities. Work style: fast-paced and audience-facing; creative; responds to trends and monitors engagement regularly.","A student who may enjoy a career as Social Media Manager may be interested in social media; trends; brands; communication; content; online communities. They may enjoy using skills such as social media platforms; content planning; copywriting; basic design; analytics; community management. The work may suit someone who prefers fast-paced and audience-facing; creative; responds to trends and monitors engagement regularly. The career involves Plans, publishes, and evaluates content on social platforms while managing online communities and helping brands communicate with their audiences.."
Content Creator,Media & Communication,"Produces engaging digital material such as videos, posts, tutorials, podcasts, or short-form content for an audience on online platforms.",storytelling; video editing; scripting; presentation; social media; audience understanding,video; storytelling; creativity; social platforms; personal expression; audiences,creative and self-directed; frequent experimentation; public-facing; may require consistent publishing,Choose content niche → storytelling → basic filming/audio → editing → platform strategy → publish and review content,"Career: Content Creator. Description: Produces engaging digital material such as videos, posts, tutorials, podcasts, or short-form content for an audience on online platforms.. Skills: storytelling; video editing; scripting; presentation; social media; audience understanding. Interests: video; storytelling; creativity; social platforms; personal expression; audiences. Work style: creative and self-directed; frequent experimentation; public-facing; may require consistent publishing.","A student who may enjoy a career as Content Creator may be interested in video; storytelling; creativity; social platforms; personal expression; audiences. They may enjoy using skills such as storytelling; video editing; scripting; presentation; social media; audience understanding. The work may suit someone who prefers creative and self-directed; frequent experimentation; public-facing; may require consistent publishing. The career involves Produces engaging digital material such as videos, posts, tutorials, podcasts, or short-form content for an audience on online platforms.."
Copywriter,Media & Communication,"Writes persuasive and clear text for advertisements, websites, emails, products, and campaigns with the goal of informing or influencing an audience.",writing; editing; persuasion; audience research; marketing basics; creativity,writing; language; psychology; brands; storytelling; persuasion,independent writing mixed with feedback; deadline-driven; requires many revisions and attention to wording,Writing fundamentals → persuasive writing → audience research → headlines → web/ad copy → copywriting portfolio,"Career: Copywriter. Description: Writes persuasive and clear text for advertisements, websites, emails, products, and campaigns with the goal of informing or influencing an audience.. Skills: writing; editing; persuasion; audience research; marketing basics; creativity. Interests: writing; language; psychology; brands; storytelling; persuasion. Work style: independent writing mixed with feedback; deadline-driven; requires many revisions and attention to wording.","A student who may enjoy a career as Copywriter may be interested in writing; language; psychology; brands; storytelling; persuasion. They may enjoy using skills such as writing; editing; persuasion; audience research; marketing basics; creativity. The work may suit someone who prefers independent writing mixed with feedback; deadline-driven; requires many revisions and attention to wording. The career involves Writes persuasive and clear text for advertisements, websites, emails, products, and campaigns with the goal of informing or influencing an audience.."
Journalist,Media & Communication,"Researches events and issues, interviews people, verifies information, and communicates accurate stories through written, audio, video, or digital media.",research; interviewing; writing; fact checking; communication; media ethics,current events; people; writing; investigation; storytelling; society,deadline-driven and investigative; substantial communication; may involve field work and unpredictable schedules,News writing → research → interviewing → fact checking → media ethics → publish reporting samples,"Career: Journalist. Description: Researches events and issues, interviews people, verifies information, and communicates accurate stories through written, audio, video, or digital media.. Skills: research; interviewing; writing; fact checking; communication; media ethics. Interests: current events; people; writing; investigation; storytelling; society. Work style: deadline-driven and investigative; substantial communication; may involve field work and unpredictable schedules.","A student who may enjoy a career as Journalist may be interested in current events; people; writing; investigation; storytelling; society. They may enjoy using skills such as research; interviewing; writing; fact checking; communication; media ethics. The work may suit someone who prefers deadline-driven and investigative; substantial communication; may involve field work and unpredictable schedules. The career involves Researches events and issues, interviews people, verifies information, and communicates accurate stories through written, audio, video, or digital media.."
Public Relations Specialist,Media & Communication,"Manages communication between an organization and the public by preparing messages, handling media relationships, supporting events, and protecting reputation.",communication; writing; media relations; presentation; event coordination; crisis communication basics,people; communication; brands; events; reputation; media,highly social and communication-heavy; deadline-sensitive; frequent coordination with external audiences,Communication basics → professional writing → media relations → event coordination → crisis communication → PR campaign examples,"Career: Public Relations Specialist. Description: Manages communication between an organization and the public by preparing messages, handling media relationships, supporting events, and protecting reputation.. Skills: communication; writing; media relations; presentation; event coordination; crisis communication basics. Interests: people; communication; brands; events; reputation; media. Work style: highly social and communication-heavy; deadline-sensitive; frequent coordination with external audiences.","A student who may enjoy a career as Public Relations Specialist may be interested in people; communication; brands; events; reputation; media. They may enjoy using skills such as communication; writing; media relations; presentation; event coordination; crisis communication basics. The work may suit someone who prefers highly social and communication-heavy; deadline-sensitive; frequent coordination with external audiences. The career involves Manages communication between an organization and the public by preparing messages, handling media relationships, supporting events, and protecting reputation.."
Teacher,Education,"Helps students understand subjects by planning lessons, explaining concepts, assessing learning, and adapting teaching approaches to different learners.",subject knowledge; communication; lesson planning; patience; presentation; assessment,helping others learn; communication; subjects; mentoring; working with students,people-centered and structured; regular preparation and presentation; requires patience and adaptability,Choose subject → strengthen subject knowledge → teaching methods → lesson planning → assessment → classroom practice,"Career: Teacher. Description: Helps students understand subjects by planning lessons, explaining concepts, assessing learning, and adapting teaching approaches to different learners.. Skills: subject knowledge; communication; lesson planning; patience; presentation; assessment. Interests: helping others learn; communication; subjects; mentoring; working with students. Work style: people-centered and structured; regular preparation and presentation; requires patience and adaptability.","A student who may enjoy a career as Teacher may be interested in helping others learn; communication; subjects; mentoring; working with students. They may enjoy using skills such as subject knowledge; communication; lesson planning; patience; presentation; assessment. The work may suit someone who prefers people-centered and structured; regular preparation and presentation; requires patience and adaptability. The career involves Helps students understand subjects by planning lessons, explaining concepts, assessing learning, and adapting teaching approaches to different learners.."
Instructional Designer,Education,"Designs learning materials, online courses, training activities, and assessments so people can learn skills or knowledge effectively.",learning design; writing; presentation; e-learning tools; assessment design; basic multimedia,education; technology; organizing information; training; visual learning,structured and creative; project-based; collaborates with subject experts and learners,Learning theory basics → course design → storyboarding → e-learning tools → assessment → build sample learning module,"Career: Instructional Designer. Description: Designs learning materials, online courses, training activities, and assessments so people can learn skills or knowledge effectively.. Skills: learning design; writing; presentation; e-learning tools; assessment design; basic multimedia. Interests: education; technology; organizing information; training; visual learning. Work style: structured and creative; project-based; collaborates with subject experts and learners.","A student who may enjoy a career as Instructional Designer may be interested in education; technology; organizing information; training; visual learning. They may enjoy using skills such as learning design; writing; presentation; e-learning tools; assessment design; basic multimedia. The work may suit someone who prefers structured and creative; project-based; collaborates with subject experts and learners. The career involves Designs learning materials, online courses, training activities, and assessments so people can learn skills or knowledge effectively.."
Researcher,Science & Research,"Investigates questions systematically by reviewing existing knowledge, collecting evidence, analyzing results, and communicating findings.",research methods; critical thinking; statistics; data analysis; academic writing; literature review,discovering new knowledge; reading; experiments; data; asking questions,"patient and detail-oriented; long-term projects; significant reading, analysis, and writing",Research methods → literature review → statistics → data collection → analysis → academic writing → small research project,"Career: Researcher. Description: Investigates questions systematically by reviewing existing knowledge, collecting evidence, analyzing results, and communicating findings.. Skills: research methods; critical thinking; statistics; data analysis; academic writing; literature review. Interests: discovering new knowledge; reading; experiments; data; asking questions. Work style: patient and detail-oriented; long-term projects; significant reading, analysis, and writing.","A student who may enjoy a career as Researcher may be interested in discovering new knowledge; reading; experiments; data; asking questions. They may enjoy using skills such as research methods; critical thinking; statistics; data analysis; academic writing; literature review. The work may suit someone who prefers patient and detail-oriented; long-term projects; significant reading, analysis, and writing. The career involves Investigates questions systematically by reviewing existing knowledge, collecting evidence, analyzing results, and communicating findings.."
Environmental Consultant,Science & Research,"Helps organizations understand and reduce environmental impacts by conducting assessments, analyzing environmental data, and advising on regulations and sustainable practices.",environmental science; data analysis; report writing; field assessment; sustainability; regulations basics,environment; sustainability; science; field work; problem solving; policy,mix of office analysis and field work; report-heavy; works with clients and regulations,Environmental science → sustainability → data/GIS basics → environmental assessment → regulations → case-study projects,"Career: Environmental Consultant. Description: Helps organizations understand and reduce environmental impacts by conducting assessments, analyzing environmental data, and advising on regulations and sustainable practices.. Skills: environmental science; data analysis; report writing; field assessment; sustainability; regulations basics. Interests: environment; sustainability; science; field work; problem solving; policy. Work style: mix of office analysis and field work; report-heavy; works with clients and regulations.","A student who may enjoy a career as Environmental Consultant may be interested in environment; sustainability; science; field work; problem solving; policy. They may enjoy using skills such as environmental science; data analysis; report writing; field assessment; sustainability; regulations basics. The work may suit someone who prefers mix of office analysis and field work; report-heavy; works with clients and regulations. The career involves Helps organizations understand and reduce environmental impacts by conducting assessments, analyzing environmental data, and advising on regulations and sustainable practices.."
Biotechnologist,Science & Research,"Uses biology and laboratory techniques to develop or study products and processes in areas such as healthcare, agriculture, food, or environmental science.",biology; laboratory methods; chemistry basics; data analysis; research; documentation,biology; experiments; healthcare; laboratory work; scientific discovery,laboratory and research focused; careful procedures; documentation-heavy; often team-based,Biology/chemistry → lab techniques → genetics/microbiology → statistics → biotechnology applications → research experience,"Career: Biotechnologist. Description: Uses biology and laboratory techniques to develop or study products and processes in areas such as healthcare, agriculture, food, or environmental science.. Skills: biology; laboratory methods; chemistry basics; data analysis; research; documentation. Interests: biology; experiments; healthcare; laboratory work; scientific discovery. Work style: laboratory and research focused; careful procedures; documentation-heavy; often team-based.","A student who may enjoy a career as Biotechnologist may be interested in biology; experiments; healthcare; laboratory work; scientific discovery. They may enjoy using skills such as biology; laboratory methods; chemistry basics; data analysis; research; documentation. The work may suit someone who prefers laboratory and research focused; careful procedures; documentation-heavy; often team-based. The career involves Uses biology and laboratory techniques to develop or study products and processes in areas such as healthcare, agriculture, food, or environmental science.."
Civil Engineer,Engineering & Built Environment,"Designs, analyzes, and supports construction of infrastructure such as buildings, roads, bridges, water systems, and other public works.",mathematics; structural basics; CAD; engineering mechanics; project planning; technical drawing,infrastructure; construction; mathematics; problem solving; buildings; public works,mix of office design and site work; technical; team-based; safety and standards focused,Mathematics/physics → engineering mechanics → CAD → structures/materials → design projects → site experience,"Career: Civil Engineer. Description: Designs, analyzes, and supports construction of infrastructure such as buildings, roads, bridges, water systems, and other public works.. Skills: mathematics; structural basics; CAD; engineering mechanics; project planning; technical drawing. Interests: infrastructure; construction; mathematics; problem solving; buildings; public works. Work style: mix of office design and site work; technical; team-based; safety and standards focused.","A student who may enjoy a career as Civil Engineer may be interested in infrastructure; construction; mathematics; problem solving; buildings; public works. They may enjoy using skills such as mathematics; structural basics; CAD; engineering mechanics; project planning; technical drawing. The work may suit someone who prefers mix of office design and site work; technical; team-based; safety and standards focused. The career involves Designs, analyzes, and supports construction of infrastructure such as buildings, roads, bridges, water systems, and other public works.."
Mechanical Engineer,Engineering & Built Environment,"Designs, analyzes, tests, and improves machines and mechanical systems using principles of mechanics, energy, materials, and manufacturing.",mathematics; physics; CAD; mechanics; thermodynamics; materials; problem solving,machines; engines; energy; design; physics; practical problem solving,"technical and analytical; mix of computer design, calculations, testing, and practical engineering work",Mathematics/physics → mechanics → thermodynamics → CAD → materials → design/analysis projects,"Career: Mechanical Engineer. Description: Designs, analyzes, tests, and improves machines and mechanical systems using principles of mechanics, energy, materials, and manufacturing.. Skills: mathematics; physics; CAD; mechanics; thermodynamics; materials; problem solving. Interests: machines; engines; energy; design; physics; practical problem solving. Work style: technical and analytical; mix of computer design, calculations, testing, and practical engineering work.","A student who may enjoy a career as Mechanical Engineer may be interested in machines; engines; energy; design; physics; practical problem solving. They may enjoy using skills such as mathematics; physics; CAD; mechanics; thermodynamics; materials; problem solving. The work may suit someone who prefers technical and analytical; mix of computer design, calculations, testing, and practical engineering work. The career involves Designs, analyzes, tests, and improves machines and mechanical systems using principles of mechanics, energy, materials, and manufacturing.."
Renewable Energy Specialist,Engineering & Built Environment,"Works with technologies and projects involving solar, wind, energy efficiency, or other sustainable energy systems to reduce environmental impact.",energy fundamentals; data analysis; electrical/mechanical basics; sustainability; project analysis,clean energy; sustainability; engineering; climate; technology; problem solving,"technical and project-based; may combine field assessment, calculations, research, and client work",Energy fundamentals → renewable technologies → Excel/data analysis → system design basics → sustainability → energy project,"Career: Renewable Energy Specialist. Description: Works with technologies and projects involving solar, wind, energy efficiency, or other sustainable energy systems to reduce environmental impact.. Skills: energy fundamentals; data analysis; electrical/mechanical basics; sustainability; project analysis. Interests: clean energy; sustainability; engineering; climate; technology; problem solving. Work style: technical and project-based; may combine field assessment, calculations, research, and client work.","A student who may enjoy a career as Renewable Energy Specialist may be interested in clean energy; sustainability; engineering; climate; technology; problem solving. They may enjoy using skills such as energy fundamentals; data analysis; electrical/mechanical basics; sustainability; project analysis. The work may suit someone who prefers technical and project-based; may combine field assessment, calculations, research, and client work. The career involves Works with technologies and projects involving solar, wind, energy efficiency, or other sustainable energy systems to reduce environmental impact.."
Supply Chain Analyst,Business,"Uses data to improve how products, materials, inventory, and deliveries move through an organization from suppliers to customers.",Excel; data analysis; logistics; inventory; forecasting basics; SQL basics; communication,logistics; business operations; data; planning; efficiency; solving process problems,"analytical and operations-focused; works with schedules, inventory, suppliers, and business teams",Supply-chain fundamentals → Excel → inventory/logistics → forecasting → SQL basics → operations analysis projects,"Career: Supply Chain Analyst. Description: Uses data to improve how products, materials, inventory, and deliveries move through an organization from suppliers to customers.. Skills: Excel; data analysis; logistics; inventory; forecasting basics; SQL basics; communication. Interests: logistics; business operations; data; planning; efficiency; solving process problems. Work style: analytical and operations-focused; works with schedules, inventory, suppliers, and business teams.","A student who may enjoy a career as Supply Chain Analyst may be interested in logistics; business operations; data; planning; efficiency; solving process problems. They may enjoy using skills such as Excel; data analysis; logistics; inventory; forecasting basics; SQL basics; communication. The work may suit someone who prefers analytical and operations-focused; works with schedules, inventory, suppliers, and business teams. The career involves Uses data to improve how products, materials, inventory, and deliveries move through an organization from suppliers to customers.."
UX Researcher,Design,"Studies how people use products through interviews, observation, surveys, and usability tests, then turns findings into insights for design and product teams.",user interviews; usability testing; surveys; qualitative research; data analysis basics; communication,human behavior; psychology; research; technology; user problems; interviews,research and people focused; frequent interviews; analysis and presentation of findings,Research fundamentals → interview methods → surveys → usability testing → qualitative analysis → UX research case studies,"Career: UX Researcher. Description: Studies how people use products through interviews, observation, surveys, and usability tests, then turns findings into insights for design and product teams.. Skills: user interviews; usability testing; surveys; qualitative research; data analysis basics; communication. Interests: human behavior; psychology; research; technology; user problems; interviews. Work style: research and people focused; frequent interviews; analysis and presentation of findings.","A student who may enjoy a career as UX Researcher may be interested in human behavior; psychology; research; technology; user problems; interviews. They may enjoy using skills such as user interviews; usability testing; surveys; qualitative research; data analysis basics; communication. The work may suit someone who prefers research and people focused; frequent interviews; analysis and presentation of findings. The career involves Studies how people use products through interviews, observation, surveys, and usability tests, then turns findings into insights for design and product teams.."
Technical Writer,Media & Communication,"Explains complex technical information clearly by creating manuals, guides, tutorials, help articles, and documentation for users or technical teams.",writing; editing; research; technical understanding; documentation tools; information organization,writing; technology; explaining things; learning complex topics; organized information,focused writing and research; structured; collaborates with engineers or subject experts,Writing/editing → technical fundamentals → documentation structure → Markdown/tools → create tutorials and documentation portfolio,"Career: Technical Writer. Description: Explains complex technical information clearly by creating manuals, guides, tutorials, help articles, and documentation for users or technical teams.. Skills: writing; editing; research; technical understanding; documentation tools; information organization. Interests: writing; technology; explaining things; learning complex topics; organized information. Work style: focused writing and research; structured; collaborates with engineers or subject experts.","A student who may enjoy a career as Technical Writer may be interested in writing; technology; explaining things; learning complex topics; organized information. They may enjoy using skills such as writing; editing; research; technical understanding; documentation tools; information organization. The work may suit someone who prefers focused writing and research; structured; collaborates with engineers or subject experts. The career involves Explains complex technical information clearly by creating manuals, guides, tutorials, help articles, and documentation for users or technical teams.."
GIS Analyst,Data & AI,"Works with maps and location-based data to analyze geographic patterns and support planning, environment, transportation, utilities, or business decisions.",GIS software; spatial data; mapping; data analysis; Excel; Python basics; cartography,maps; geography; data; environment; cities; spatial patterns,analytical and visual; computer-based mapping with occasional field or planning collaboration,GIS fundamentals → QGIS/ArcGIS → spatial data → cartography → Python basics → GIS analysis projects,"Career: GIS Analyst. Description: Works with maps and location-based data to analyze geographic patterns and support planning, environment, transportation, utilities, or business decisions.. Skills: GIS software; spatial data; mapping; data analysis; Excel; Python basics; cartography. Interests: maps; geography; data; environment; cities; spatial patterns. Work style: analytical and visual; computer-based mapping with occasional field or planning collaboration.","A student who may enjoy a career as GIS Analyst may be interested in maps; geography; data; environment; cities; spatial patterns. They may enjoy using skills such as GIS software; spatial data; mapping; data analysis; Excel; Python basics; cartography. The work may suit someone who prefers analytical and visual; computer-based mapping with occasional field or planning collaboration. The career involves Works with maps and location-based data to analyze geographic patterns and support planning, environment, transportation, utilities, or business decisions.."
